"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"2441","502-1763","Bronco Sport","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2442","62-1760","Accord","Unknown"," "," "," "," "," ",NA,"Y"," ","","Minor"
"2443","669-1350","PALISADE","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2444","13781-1750","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2445","13781-1749","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2446","13781-1737","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2447","13781-1734","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2448","10039-1520","X5M","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2449","855-1341","S580 4Matic","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2450","1306-1376","Camry","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2451","1243-1042","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2452","1243-1246","Crosstrek","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2453","1243-1392","Forester","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2454","1243-1379","Crosstrek","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Minor"
"2455","1243-1528","Forester","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","Minor"
"2456","1243-1582","Forester","Daylight"," "," ","Y"," "," ",NA," "," ","","Minor"
"2457","1243-1582","Forester","Daylight"," "," ","Y"," "," ",NA," "," ","","Minor"
"2458","62-1671","CRV","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2459","62-1670","Passport","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2460","13781-1663","Model S","Dark - Not Lighted"," "," "," "," ","Y",NA," "," ","","Unknown"
"2461","13781-1662","Model 3","Dark - Lighted"," "," "," "," ","Y",NA," "," ","","Unknown"
"2462","13781-1647","Model X","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2463","13781-1646","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2464","13781-1632","Model 3","Daylight"," "," "," "," ","Y",NA," "," ","","Unknown"
"2465","13781-1619","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2466","13781-1631","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2467","13781-1663","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2468","13781-1662","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2469","13781-1647","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2470","13781-1646","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2471","62-1636","RDX","Unknown","Y"," "," "," "," ",NA," "," ","","Moderate"
"2472","62-1635","Pilot","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2473","13781-1632","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2474","13781-1631","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2475","10039-1548","530i","Other, see Narrative"," "," "," "," "," ",NA," ","Y","Hurricane Ida","No Injuries Reported"
"2476","62-1623","Accord","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2477","13781-1619","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2478","10561-1595","Grand Cherokee","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2479","13781-1599","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2480","13781-1598","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2481","13781-1584","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2482","13781-1585","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2483","62-1609","Accord Hybrid","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2484","13781-1589","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2485","62-1607","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2486","13781-1575","Model 3","Dark - Not Lighted"," "," "," ","Y"," ",NA," "," ","","Unknown"
"2487","13781-1574","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2488","13781-1573","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2489","13781-1555","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2490","13781-1553","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2491","13781-1556","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2492","13781-1599","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2493","13781-1598","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2494","10561-1595","Grand Cherokee","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2495","10039-1548","530i","Other, see Narrative"," "," "," "," "," ",NA," ","Y","Hurricane Ida","No Injuries Reported"
"2496","62-1591","Accord","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2497","62-1590","Odyssey","Unknown"," "," "," "," "," ",NA,"Y"," ","","Minor"
"2498","13781-1589","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2499","62-1587","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2500","1243-1582","Forester","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Minor"
"2501","13781-1585","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2502","13781-1584","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2503","62-1581","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2504","62-1578","Ridgeline","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2505","1243-1528","Forester","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","Minor"
"2506","13781-1575","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2507","13781-1574","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2508","13781-1573","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2509","10039-1520","X5M","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2510","10039-1548","530i","Other, see Narrative"," "," "," "," "," ",NA," ","Y","Hurricane Ida","No Injuries Reported"
"2511","62-1568","CRV Hybrid","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2512","13781-1554","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2513","13781-1551","Model Y","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"2514","13781-1547","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2515","13781-1546","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2516","13781-1545","Model S","Dark - Lighted"," "," "," "," ","Y",NA," "," ","","Unknown"
"2517","13781-1544","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2518","13781-1543","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2519","13781-1542","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2520","13781-1538","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2521","13781-1541","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2522","13781-1537","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2523","1306-1519","RAV4","Unknown"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2524","13781-1556","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2525","13781-1555","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2526","13781-1554","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2527","13781-1553","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2528","62-1552","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2529","13781-1551","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
